metric,value
Base PD (TTC),5.0000%
LGD,45%
EAD,"$100,000"
12-Month ECL (Stage 1),"$7,429.69"
Lifetime ECL (Stage 2),"$24,861.44"
Horizon (quarters),12
severe_downside - 12m contribution,$860.26
severe_downside - lifetime contribution,"$3,104.45"
severe_downside - terminal cum PD,46.0015%
downside - 12m contribution,"$1,538.97"
downside - lifetime contribution,"$5,585.32"
downside - terminal cum PD,45.9991%
base - 12m contribution,"$2,114.86"
base - lifetime contribution,"$7,452.40"
base - terminal cum PD,45.9951%
upside - 12m contribution,"$1,780.48"
upside - lifetime contribution,"$5,599.96"
upside - terminal cum PD,45.9749%
severe_upside - 12m contribution,"$1,135.14"
severe_upside - lifetime contribution,"$3,119.31"
severe_upside - terminal cum PD,46.0475%
