date,gdp_growth,unemployment_rate,interest_rate,observed_default_rate
2000-01-01,1.2,4.0,5.68,0.041
2000-04-01,7.8,3.9,6.27,0.0428
2000-07-01,0.5,4.0,6.52,0.044
2000-10-01,2.3,3.9,6.47,0.0455
2001-01-01,-1.3,4.2,5.59,0.0472
2001-04-01,2.5,4.4,4.33,0.0495
2001-07-01,-1.6,4.8,3.5,0.0518
2001-10-01,1.1,5.5,2.13,0.0548
2002-01-01,3.5,5.7,1.73,0.0552
2002-04-01,2.2,5.8,1.75,0.0538
2002-07-01,2.4,5.7,1.74,0.052
2002-10-01,0.2,5.9,1.44,0.0515
2003-01-01,2.1,5.9,1.25,0.0508
2003-04-01,3.8,6.1,1.24,0.0495
2003-07-01,6.9,6.1,1.02,0.048
2003-10-01,4.8,5.8,1.0,0.0468
2004-01-01,2.3,5.7,1.0,0.0452
2004-04-01,3.0,5.6,1.01,0.0438
2004-07-01,3.7,5.4,1.43,0.0425
2004-10-01,3.5,5.4,1.95,0.0418
2005-01-01,4.3,5.3,2.47,0.0412
2005-04-01,2.1,5.1,2.94,0.0405
2005-07-01,3.4,5.0,3.46,0.04
2005-10-01,2.3,5.0,3.98,0.0398
2006-01-01,5.4,4.7,4.46,0.0402
2006-04-01,1.2,4.6,4.91,0.0408
2006-07-01,0.4,4.6,5.25,0.0415
2006-10-01,3.5,4.4,5.25,0.0422
2007-01-01,0.2,4.5,5.26,0.0435
2007-04-01,3.1,4.5,5.25,0.0448
2007-07-01,2.7,4.7,5.07,0.0462
2007-10-01,1.4,4.8,4.5,0.0485
2008-01-01,-2.3,5.0,3.18,0.0512
2008-04-01,2.1,5.3,2.09,0.0545
2008-07-01,-2.1,6.0,1.94,0.0582
2008-10-01,-8.4,6.9,0.51,0.0628
2009-01-01,-4.4,8.3,0.18,0.065
2009-04-01,-0.6,9.3,0.18,0.0675
2009-07-01,1.5,9.6,0.16,0.0682
2009-10-01,4.5,9.9,0.12,0.069
2010-01-01,1.5,9.8,0.13,0.0672
2010-04-01,3.7,9.6,0.19,0.0648
2010-07-01,2.7,9.5,0.19,0.0615
2010-10-01,2.5,9.4,0.19,0.058
2011-01-01,-1.5,9.0,0.16,0.0542
2011-04-01,2.9,9.1,0.09,0.0515
2011-07-01,0.8,9.0,0.08,0.049
2011-10-01,4.7,8.6,0.07,0.0472
2012-01-01,3.2,8.3,0.1,0.0452
2012-04-01,1.7,8.2,0.16,0.0435
2012-07-01,0.5,7.8,0.14,0.0418
2012-10-01,0.5,7.8,0.16,0.0408
2013-01-01,3.6,7.7,0.14,0.0395
2013-04-01,0.5,7.5,0.12,0.0382
2013-07-01,3.2,7.2,0.08,0.0368
2013-10-01,3.2,6.9,0.09,0.0355
2014-01-01,-1.5,6.7,0.07,0.0342
2014-04-01,5.5,6.2,0.09,0.033
2014-07-01,4.9,6.1,0.09,0.0322
2014-10-01,2.3,5.7,0.1,0.0315
2015-01-01,3.2,5.5,0.11,0.031
2015-04-01,2.7,5.4,0.12,0.0305
2015-07-01,1.3,5.1,0.14,0.03
2015-10-01,0.5,5.0,0.24,0.0295
2016-01-01,1.3,4.9,0.36,0.0288
2016-04-01,2.7,4.9,0.39,0.0282
2016-07-01,2.2,4.9,0.4,0.0278
2016-10-01,2.0,4.7,0.54,0.0272
2017-01-01,2.2,4.7,0.7,0.0265
2017-04-01,2.2,4.3,0.95,0.026
2017-07-01,2.9,4.3,1.15,0.0255
2017-10-01,3.5,4.1,1.2,0.0248
2018-01-01,3.8,4.1,1.45,0.0242
2018-04-01,2.9,3.9,1.74,0.0238
2018-07-01,2.1,3.7,1.91,0.0235
2018-10-01,1.3,3.8,2.22,0.0242
2019-01-01,2.7,3.8,2.4,0.0248
2019-04-01,3.2,3.6,2.38,0.0252
2019-07-01,2.8,3.6,2.04,0.0258
2019-10-01,2.4,3.5,1.64,0.0262
2020-01-01,-5.3,3.8,1.08,0.0268
2020-04-01,-28.0,13.0,0.06,0.0315
2020-07-01,35.3,8.8,0.09,0.0345
2020-10-01,4.5,6.7,0.09,0.032
2021-01-01,6.3,6.2,0.08,0.0285
2021-04-01,7.0,5.9,0.06,0.0255
2021-07-01,2.7,5.1,0.08,0.0235
2021-10-01,7.0,4.2,0.08,0.0215
2022-01-01,-1.6,3.8,0.2,0.0205
2022-04-01,-0.6,3.6,0.76,0.021
2022-07-01,3.2,3.5,2.19,0.0218
2022-10-01,2.6,3.5,3.65,0.0228
2023-01-01,2.2,3.5,4.57,0.0242
2023-04-01,2.1,3.5,5.08,0.0255
2023-07-01,4.9,3.7,5.33,0.0268
2023-10-01,3.4,3.7,5.33,0.0282
2024-01-01,1.4,3.8,5.33,0.0295
2024-04-01,3.0,4.0,5.33,0.0305
2024-07-01,2.8,4.2,5.12,0.0312
2024-10-01,2.3,4.1,4.58,0.0318
